Agent setting:  OrderedDict([('actor_critic_dim', 128), ('n_hidden', 1), ('pi_lr', 0.01), ('qf_vf_lr', 1e-05), ('sample_for_eval', False), ('use_true_q', False), ('entropy_scale', 0.01), ('l_param', 6), ('N_param', 64), ('optim_type', 'll_multiple'), ('q_update_type', 'sac'), ('use_replay', True), ('use_target', False), ('batch_size', 32), ('use_baseline', True), ('use_hard_value', False), ('use_scaled_kl', False), ('n_action_points', 128)])
Start run at: 2020-10-13 06:35:38.549085

=== EVAL :: ep: 0, r: 3.3366390117299436, n_steps: 1000, elapsed: 00:00:02
Train:: ep: 32, r: 41.38492027836111, n_steps: 1000, elapsed: 00:00:34
Train:: ep: 33, r: 35.37292971771707, n_steps: 1000, elapsed: 00:00:35
Train:: ep: 34, r: 18.94260029955442, n_steps: 1000, elapsed: 00:00:34
Train:: ep: 35, r: 20.324947078684723, n_steps: 1000, elapsed: 00:00:34
Train:: ep: 36, r: -8.502646896312829, n_steps: 1000, elapsed: 00:00:34
Train:: ep: 37, r: 1.4480315827851111, n_steps: 1000, elapsed: 00:00:32
Train:: ep: 38, r: -19.031667445797897, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 39, r: -27.620800442535355, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 40, r: -44.43878588896362, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 41, r: -19.282256296157268, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 42, r: -9.76145432924243, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 43, r: -3.7446129707975335, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 44, r: 21.51643515830707, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 45, r: -0.9993886625309146, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 46, r: 2.7182355463147054, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 47, r: 2.1484338505576672, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 48, r: 8.03674473131428, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 49, r: 27.434516304061894, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 50, r: 22.261340063164617, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 51, r: 36.32051040043966, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 52, r: 37.03045330317648, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 53, r: 35.5359386482193, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 54, r: 14.993339947513183, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 55, r: 18.772226245875352, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 56, r: 8.31770373445793, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 57, r: 1.860116325514572, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 58, r: -3.723521097544351, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 59, r: -4.6543254058444194, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 60, r: -3.7766449176048464, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 61, r: -6.180851404559908, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 62, r: 11.923504010604763, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 63, r: 1.3189756491930478, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 64, r: 0.6235473930078201, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 65, r: 7.907947291721662, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 66, r: -1.681360867046453, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 67, r: 15.82860677425354, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 68, r: -1.9095500333975939, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 69, r: -1.9597148578207393, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 70, r: 1.2218162343709658, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 71, r: 5.802129857258181, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 72, r: 3.9504254126423675, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 73, r: 2.7623636311129878, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 74, r: 21.82648767048513, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 75, r: 6.605748839367555, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 76, r: 10.981626889494953, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 77, r: 28.992497109476638, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 78, r: 17.847045418664386, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 79, r: 21.28105159603882, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 80, r: 11.303368418503451, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 81, r: 12.688198482462953, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 82, r: 10.885227736003596, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 83, r: 11.58759507222604, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 84, r: 13.590444068618758, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 85, r: 15.463074804868398, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 86, r: 12.041306622608035, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 87, r: 8.881834109396044, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 88, r: 13.792207868268623, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 89, r: 24.69084598628436, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 90, r: 14.035377034291985, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 91, r: 13.625703712425072, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 92, r: 16.3332230706237, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 93, r: 16.042653787256505, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 94, r: 24.016043517302, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 95, r: 20.34914967487298, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 96, r: 17.133827978086693, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 97, r: 14.03077960763162, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 98, r: 16.440240431376164, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 99, r: 17.767796014618824, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 100, r: 16.537493281655614, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 101, r: 18.689275221674965, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 102, r: 20.241475331270543, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 103, r: 18.204961225240467, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 104, r: 23.4730819739828, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 105, r: 23.20825393770085, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 106, r: 24.129297612782402, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 107, r: 24.840023621119297, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 108, r: 25.150834883889225, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 109, r: 24.282221795771335, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 110, r: 25.529662980013704, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 111, r: 30.655633250654223, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 112, r: 27.959971647101735, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 113, r: 27.27142603676027, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 114, r: 29.30964400005148, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 115, r: 29.57450451971446, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 116, r: 26.267357130691238, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 117, r: 28.132898418353857, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 118, r: 29.166059169870774, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 119, r: 32.35507780814846, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 120, r: 30.951872179176565, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 121, r: 30.11608651583301, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 122, r: 28.852502394520243, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 123, r: 28.599297674501628, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 124, r: 29.15300241913238, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 125, r: 24.189949936097328, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 126, r: 27.85785164768649, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 127, r: 29.766581960610136, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 128, r: 33.82154844074566, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 129, r: 27.250217602745614, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 130, r: 26.721417788400753, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 131, r: 23.91456132092707, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 132, r: -9.299905426502127, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 133, r: -23.06932331390051, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 134, r: -7.462114300844183, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 135, r: -12.833547837933269, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 136, r: -8.859355120801881, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 137, r: -8.564772181540931, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 138, r: -11.934305972998805, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 139, r: 22.051453311940215, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 140, r: 26.555705580513493, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 141, r: 43.48284061563555, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 142, r: 28.952145932678658, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 143, r: 33.858505423699995, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 144, r: 33.335770562456226, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 145, r: 31.451735784443077, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 146, r: 31.55217151882578, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 147, r: 30.111977435288402, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 148, r: 28.756395186118606, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 149, r: 27.612187103842096, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 150, r: 27.236783858994965, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 151, r: 28.36815282596663, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 152, r: 27.75231662405986, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 153, r: 29.4418141469894, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 154, r: 26.677777199060028, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 155, r: 31.92316344893999, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 156, r: 28.189064159700614, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 157, r: 34.85511949180679, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 158, r: 33.14596927056232, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 159, r: 28.20095607602731, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 160, r: 34.292545579552616, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 161, r: 28.038021382581732, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 162, r: 31.11715217880091, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 163, r: 25.00591769111977, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 164, r: 22.89725370500489, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 165, r: 27.188222311516583, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 166, r: 26.561026227878045, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 167, r: 23.338509329745328, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 168, r: 17.666066599215224, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 169, r: 19.508735440241534, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 170, r: 20.820871283648348, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 171, r: 23.78512421828122, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 172, r: 20.082860282643093, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 173, r: 18.12666620310239, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 174, r: 19.39151142463597, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 175, r: 15.367798907651856, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 176, r: 18.390206553799157, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 177, r: 16.311332622570337, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 178, r: 18.040746568266606, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 179, r: 19.217272164344667, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 180, r: 16.39699957115802, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 181, r: 23.914855626921433, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 182, r: 25.28743537045705, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 183, r: 25.310605401125223, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 184, r: 19.985355545263985, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 185, r: 22.30936914941006, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 186, r: 19.79753835579443, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 187, r: 22.811295826488475, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 188, r: 24.676907023974717, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 189, r: 25.012562401567987, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 190, r: 24.198886723064387, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 191, r: 22.604728930267214, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 192, r: 17.0174662011071, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 193, r: 13.736110410521341, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 194, r: 16.761606804301515, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 195, r: 12.018260003800368, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 196, r: 13.990717297075323, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 197, r: 11.200978371122552, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 198, r: 10.776820229602853, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 199, r: 12.44202556312704, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 200, r: 22.047804150850244, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 201, r: 24.171270845265635, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 202, r: 27.63778048630129, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 203, r: 28.371526585358325, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 204, r: 30.164592747610516, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 205, r: 27.12924036090993, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 206, r: 32.627437413696626, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 207, r: 28.48708851221154, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 208, r: 31.94887931527233, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 209, r: 31.974281995285985, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 210, r: 30.99596981163994, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 211, r: 31.94856698785838, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 212, r: 34.41122135519802, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 213, r: 33.65148504783176, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 214, r: 30.838572188298073, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 215, r: 33.20241946299688, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 216, r: 36.47451743107811, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 217, r: 34.227824529372484, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 218, r: 40.60271663657337, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 219, r: 33.05780927591931, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 220, r: 37.70226658773172, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 221, r: 34.461693333690896, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 222, r: 36.11785471003794, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 223, r: 32.5471909655844, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 224, r: 32.39224892984568, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 225, r: 30.18291832014167, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 226, r: 34.05743159634991, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 227, r: 30.26525469015259, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 228, r: 29.165527289304148, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 229, r: 36.566289695047644, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 230, r: 35.46055159892832, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 231, r: 31.457685395132266, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 232, r: 37.4868271028699, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 233, r: 35.29045574521173, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 234, r: 34.84913269338671, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 235, r: 29.58735903011334, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 236, r: 33.22670008070749, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 237, r: 34.64072534237292, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 238, r: 36.49299378393595, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 239, r: 26.83828938955847, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 240, r: 35.474703829617674, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 241, r: 35.58154652685303, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 242, r: 31.812343853000527, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 243, r: 32.18479585507114, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 244, r: 32.35994202366022, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 245, r: 37.93533900017116, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 246, r: 34.077061994122126, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 247, r: 32.72305418460938, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 248, r: 30.062256285318988, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 249, r: 33.25623167245241, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 250, r: 35.01188566441339, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 251, r: 32.96244436911507, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 252, r: 30.645629425518123, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 253, r: 34.24916107130241, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 254, r: 31.32464922819478, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 255, r: 34.41127287771435, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 256, r: 32.974072452880414, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 257, r: 29.301557430515913, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 258, r: 32.7263792511432, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 259, r: 27.686010662457274, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 260, r: 28.997328841818344, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 261, r: 29.444515405000274, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 262, r: 30.77889144489964, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 263, r: 28.379721286059517, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 264, r: 26.62812140978509, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 265, r: 26.223002619961367, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 266, r: 26.508066483671474, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 267, r: 26.969842172274944, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 268, r: 26.13080085013494, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 269, r: 29.173514932989512, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 270, r: 28.201335717556123, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 271, r: 3.879884146461121, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 272, r: 18.4454563096918, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 273, r: 26.98991167929266, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 274, r: 24.861458844282854, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 275, r: 30.669576971886165, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 276, r: 34.35309854447431, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 277, r: 26.483058491442566, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 278, r: 26.38044544321394, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 279, r: 59.49383403942213, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 280, r: 30.042037884345316, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 281, r: 33.887046111205876, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 282, r: 37.691167709047996, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 283, r: 29.77438926764521, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 284, r: 17.778610338207347, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 285, r: 36.663520937782174, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 286, r: 30.69543927829202, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 287, r: 24.248390724067157, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 288, r: 29.36408981681951, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 289, r: 28.097015689821298, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 290, r: 25.59928557506641, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 291, r: 34.656061856203976, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 292, r: 19.75890335566053, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 293, r: 8.113508893995451, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 294, r: 39.40583097865921, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 295, r: 36.6285612668536, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 296, r: 35.64460593586314, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 297, r: 34.88313187631747, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 298, r: 114.37826877378508, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 299, r: 32.58769456181268, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 300, r: 33.13057274832965, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 301, r: 52.79837958022647, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 302, r: 39.16945937599081, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 303, r: 100.99358466863033, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 304, r: 52.681851079497214, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 305, r: 44.55147013163738, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 306, r: 98.59260029576551, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 307, r: 145.48780838723795, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 308, r: 149.9978429848771, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 309, r: 164.29035760348793, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 310, r: 94.75375227552374, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 311, r: 33.21070045542488, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 312, r: 133.731242310201, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 313, r: 143.48626680239053, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 314, r: 40.15618895079949, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 315, r: 147.33640836928598, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 316, r: 45.8322735981724, n_steps: 1000, elapsed: 00:00:31
Train:: ep: 317, r: 61.30301566672848, n_steps: 1000, elapsed: 00:00:31
