Agent setting:  OrderedDict([('actor_critic_dim', 128), ('n_hidden', 1), ('pi_lr', 0.001), ('qf_vf_lr', 1e-05), ('sample_for_eval', False), ('use_true_q', False), ('entropy_scale', 0.01), ('l_param', 6), ('N_param', 64), ('optim_type', 'wis'), ('q_update_type', 'sac'), ('use_replay', True), ('use_target', False), ('batch_size', 32), ('use_hard_policy', False), ('use_hard_value', False), ('n_action_points', 128)])
Num. Integration points: 187
Start run at: 2020-10-13 01:35:04.242476

=== EVAL :: ep: 0, r: 1.076507878114432, n_steps: 1000, elapsed: 00:00:02
Train:: ep: 74, r: 30.639532077458064, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 75, r: 29.178149533568412, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 76, r: 20.286657973135462, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 77, r: 13.293641223088107, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 78, r: 12.186201583559049, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 79, r: -14.544443228511401, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 80, r: -15.20175304790463, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 81, r: 14.54843113152484, n_steps: 1000, elapsed: 00:00:39
Train:: ep: 82, r: 24.475373155908205, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 83, r: -5.640216442646786, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 84, r: -22.50400813135196, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 85, r: -13.600059236157307, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 86, r: -19.37162116044854, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 87, r: -16.165837031062125, n_steps: 1000, elapsed: 00:00:39
Train:: ep: 88, r: -20.89841168892776, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 89, r: -19.99477204895516, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 90, r: -15.312168182369003, n_steps: 1000, elapsed: 00:00:39
Train:: ep: 91, r: -11.545955884885274, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 92, r: -48.64315377116872, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 93, r: -9.784232714814255, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 94, r: -2.0601160361962485, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 95, r: -7.914714619180718, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 96, r: -1.8170686149065292, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 97, r: -4.792043714342076, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 98, r: -4.173028878438523, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 99, r: 17.30492910053762, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 100, r: -2.637856202541664, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 101, r: 16.37246671606713, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 102, r: 4.548092020233158, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 103, r: 4.930424468304938, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 104, r: 29.549133307432378, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 105, r: 34.10495078154124, n_steps: 1000, elapsed: 00:00:39
Train:: ep: 106, r: 30.412333553193072, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 107, r: 18.7385845976029, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 108, r: 24.133464345690623, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 109, r: 24.871252596699367, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 110, r: 26.03614029508513, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 111, r: 34.622738788528245, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 112, r: 30.760438582839488, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 113, r: 29.99618867765341, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 114, r: 28.7391612314361, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 115, r: 32.98067555916372, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 116, r: 31.249737469714713, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 117, r: 30.512825220486146, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 118, r: 32.20663748994737, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 119, r: 31.774949939347152, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 120, r: 22.8705542429378, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 121, r: 32.73877831179901, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 122, r: 29.40128229634219, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 123, r: 32.73289680886332, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 124, r: 20.367365130496502, n_steps: 1000, elapsed: 00:00:39
Train:: ep: 125, r: 35.40705551989229, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 126, r: 30.636831613768955, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 127, r: 26.61066871834467, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 128, r: 28.37108324644614, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 129, r: 37.26293149228262, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 130, r: 40.502180781020805, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 131, r: 38.149784866189385, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 132, r: 36.605660176915876, n_steps: 1000, elapsed: 00:00:39
Train:: ep: 133, r: 28.05375503409698, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 134, r: 34.69634846791594, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 135, r: 16.018821538593713, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 136, r: -4.9100922642696805, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 137, r: 33.193322601169776, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 138, r: 48.839842188170344, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 139, r: 32.311698693815664, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 140, r: 2.918176826139348, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 141, r: 4.75204821607244, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 142, r: 14.236186480543616, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 143, r: 27.488125936603062, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 144, r: 33.42213327165097, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 145, r: 7.537615329074467, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 146, r: 30.571555523679592, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 147, r: 30.521828679537556, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 148, r: 10.323498997745435, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 149, r: 34.57643934425231, n_steps: 1000, elapsed: 00:00:39
Train:: ep: 150, r: 31.978268144396026, n_steps: 1000, elapsed: 00:00:39
Train:: ep: 151, r: 24.75483745065713, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 152, r: 15.603085204197658, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 153, r: 23.896038667772068, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 154, r: 15.347448527265945, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 155, r: 30.1480474458407, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 156, r: 28.379631842413662, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 157, r: 31.914286746153707, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 158, r: 33.44669393059608, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 159, r: 31.62012806958132, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 160, r: 32.8529464467589, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 161, r: 36.27804719138683, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 162, r: 38.07630068311376, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 163, r: 28.85624313898035, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 164, r: 30.85759277768226, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 165, r: 32.642649108590774, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 166, r: 30.917145606150143, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 167, r: 32.32293827228539, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 168, r: 28.986120019622707, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 169, r: 35.3995069578351, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 170, r: 34.222100396713806, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 171, r: 29.92828909890949, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 172, r: 38.254463087512136, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 173, r: 30.690974894296527, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 174, r: 30.341575345596176, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 175, r: 31.685247386474504, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 176, r: 36.67196187000837, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 177, r: 29.388845319501637, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 178, r: 34.825728260359554, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 179, r: 34.176011964728936, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 180, r: 32.58720291118778, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 181, r: 35.518840193905135, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 182, r: 27.164034290264794, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 183, r: 31.930815283450876, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 184, r: 34.3045027164031, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 185, r: 31.53414368452039, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 186, r: 31.40239576583589, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 187, r: 34.100372098822646, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 188, r: 35.2090051870782, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 189, r: 33.168745067254875, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 190, r: 36.773647194134796, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 191, r: 34.26139050181556, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 192, r: 35.96423594085738, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 193, r: 35.26723421156567, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 194, r: 36.74322834016542, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 195, r: 31.26448462827844, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 196, r: 37.68898916812567, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 197, r: 34.378772796458335, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 198, r: 35.68575086755633, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 199, r: 37.00599234238698, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 200, r: 34.91915075788982, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 201, r: 36.13225954567287, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 202, r: 32.431847232619944, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 203, r: 35.59920141441566, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 204, r: 35.0426956465011, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 205, r: 33.067847451115775, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 206, r: 21.41047270752092, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 207, r: 34.72330096190612, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 208, r: 33.660159297997005, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 209, r: 34.35518149264157, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 210, r: 35.765214071499514, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 211, r: 19.010515003869195, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 212, r: 34.80851068413639, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 213, r: 34.95761750231317, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 214, r: 35.49091215873061, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 215, r: 28.679136039396692, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 216, r: 36.68922593861616, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 217, r: 34.93558278094191, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 218, r: 35.08247759042373, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 219, r: 33.88971212757272, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 220, r: 33.59906400199761, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 221, r: 35.607818885435606, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 222, r: 20.081972971087833, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 223, r: 32.694381393295494, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 224, r: 32.60995848752203, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 225, r: 33.08350927955492, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 226, r: 28.385060215554926, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 227, r: 17.518977814519772, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 228, r: 35.60153522539502, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 229, r: 32.633479448947575, n_steps: 1000, elapsed: 00:00:43
Train:: ep: 230, r: 35.04197917793117, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 231, r: 20.23687742909172, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 232, r: 29.263672518773884, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 233, r: 15.981011823973512, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 234, r: 21.096548165732166, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 235, r: 11.756494242250447, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 236, r: 21.989216749184394, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 237, r: 22.0199225872388, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 238, r: 14.852961600437483, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 239, r: 28.244910385846385, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 240, r: -7.150270582585898, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 241, r: 21.94608343476484, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 242, r: 37.32810193594582, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 243, r: 22.748857521440623, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 244, r: 19.995037824286854, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 245, r: 9.307299717829514, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 246, r: 30.380116561101925, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 247, r: 37.881798645013625, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 248, r: -13.90875312226686, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 249, r: 32.221971614519475, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 250, r: -10.2205992067742, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 251, r: -16.027284803063782, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 252, r: 48.66581049784031, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 253, r: 43.7641329964063, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 254, r: 33.23972038384247, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 255, r: 41.79840510056259, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 256, r: 36.287326208719286, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 257, r: 42.90395635983654, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 258, r: -18.848884515722542, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 259, r: 40.16170202342371, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 260, r: 30.32785737931571, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 261, r: 51.09272199772912, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 262, r: 31.98677478306832, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 263, r: 48.05450919817744, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 264, r: 42.418904866833564, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 265, r: 47.95558634916708, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 266, r: 43.01383817946589, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 267, r: 45.11228303966599, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 268, r: 24.014428911388354, n_steps: 1000, elapsed: 00:00:37
Train:: ep: 269, r: 32.30922855723789, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 270, r: 33.19434273341953, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 271, r: 37.21341591097028, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 272, r: 34.032107157020704, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 273, r: 49.419519097046866, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 274, r: 47.58017475518418, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 275, r: 52.5732613590244, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 276, r: 42.55271991833812, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 277, r: 56.468528675452596, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 278, r: 59.858821199348384, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 279, r: 70.12493833058586, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 280, r: 121.91946272366131, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 281, r: 80.67348002421258, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 282, r: 80.88795859193036, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 283, r: 51.86342587480216, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 284, r: 46.20018880822274, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 285, r: 42.9883095594068, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 286, r: 59.84801039558692, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 287, r: 41.13224943018814, n_steps: 1000, elapsed: 00:00:39
Train:: ep: 288, r: 59.773568664628115, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 289, r: 73.6123973495824, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 290, r: 80.08556350422509, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 291, r: 59.21813668860937, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 292, r: 45.85451826162756, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 293, r: 59.002248089285985, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 294, r: 59.926566713824016, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 295, r: 62.09314095298866, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 296, r: 71.47124785547427, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 297, r: 67.67798729287865, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 298, r: 76.55631946769495, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 299, r: 88.20504344036796, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 300, r: 79.82564388176085, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 301, r: 87.32429950604676, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 302, r: 98.31341491908331, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 303, r: 94.94916339876879, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 304, r: 92.46436498581491, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 305, r: -26.23697957924356, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 306, r: 89.8519192661538, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 307, r: 31.410130666246612, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 308, r: 40.18356413075254, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 309, r: 68.68071072800988, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 310, r: -14.162966096697147, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 311, r: -2.4123357939069856, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 312, r: 15.96418459043711, n_steps: 1000, elapsed: 00:00:37
Train:: ep: 313, r: 87.82803414647104, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 314, r: 71.30899007905649, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 315, r: 169.7543709952412, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 316, r: 99.53787512407777, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 317, r: 0.31232185899294884, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 318, r: 24.560567323485145, n_steps: 1000, elapsed: 00:00:38
